Sound Sink 1.0 Analysis File
D:\Users\Robin\Music\Lapfox trax - WI-FI bridge.wav - Name of original audio file
16 bit, mono, 44100Hz sampling rate - Temp File Info
256 - Power of 2 for FFT processing
7000 - Hi frequency cutoff
Hamming - FFT Window

-----------------
-Analysis Frames-
-----------------

	Frame 1:
Maxvol: 5	Time: 0,003
freq:0,000 val:0,425 
freq:172,266 val:3,011 
freq:344,531 val:9,009 
freq:516,797 val:25,916 
freq:689,062 val:44,752 
freq:861,328 val:19,938 
freq:1033,594 val:16,178 
freq:1205,859 val:22,398 
freq:1378,125 val:14,731 
freq:1550,391 val:6,232 
freq:1722,656 val:1,565 
freq:1894,922 val:10,896 
freq:2067,188 val:15,168 
freq:2239,453 val:17,981 
freq:2411,719 val:14,982 
freq:2583,984 val:18,821 
freq:2756,250 val:5,907 
freq:2928,516 val:17,542 
freq:3100,781 val:23,660 
freq:3273,047 val:2,749 
freq:3445,312 val:11,306 
freq:3617,578 val:3,619 
freq:3789,844 val:2,508 
freq:3962,109 val:2,244 
freq:4134,375 val:6,031 
freq:4306,641 val:8,787 
freq:4478,906 val:16,419 
freq:4651,172 val:6,568 
freq:4823,438 val:2,669 
freq:4995,703 val:1,827 
freq:5167,969 val:0,149 
freq:5340,234 val:56,867 
freq:5512,500 val:100,000 
freq:5684,766 val:32,280 
freq:5857,031 val:57,141 
freq:6029,297 val:73,289 
freq:6201,562 val:50,048 
freq:6373,828 val:39,492 
freq:6546,094 val:25,726 
freq:6718,359 val:46,582 
freq:6890,625 val:64,701 


	Frame 2:
Maxvol: 5	Time: 0,053
freq:0,000 val:4,125 
freq:172,266 val:6,862 
freq:344,531 val:4,019 
freq:516,797 val:1,228 
freq:689,062 val:22,192 
freq:861,328 val:35,373 
freq:1033,594 val:13,476 
freq:1205,859 val:15,565 
freq:1378,125 val:13,379 
freq:1550,391 val:19,648 
freq:1722,656 val:8,639 
freq:1894,922 val:26,859 
freq:2067,188 val:20,720 
freq:2239,453 val:15,793 
freq:2411,719 val:29,309 
freq:2583,984 val:23,412 
freq:2756,250 val:9,002 
freq:2928,516 val:16,149 
freq:3100,781 val:15,279 
freq:3273,047 val:21,848 
freq:3445,312 val:5,768 
freq:3617,578 val:3,380 
freq:3789,844 val:7,951 
freq:3962,109 val:5,610 
freq:4134,375 val:9,613 
freq:4306,641 val:0,176 
freq:4478,906 val:2,663 
freq:4651,172 val:19,840 
freq:4823,438 val:13,101 
freq:4995,703 val:1,668 
freq:5167,969 val:26,469 
freq:5340,234 val:9,047 
freq:5512,500 val:16,229 
freq:5684,766 val:6,539 
freq:5857,031 val:42,650 
freq:6029,297 val:55,564 
freq:6201,562 val:52,890 
freq:6373,828 val:46,948 
freq:6546,094 val:100,000 
freq:6718,359 val:40,944 
freq:6890,625 val:22,566 


	Frame 3:
Maxvol: 4	Time: 0,103
freq:0,000 val:22,249 
freq:172,266 val:15,107 
freq:344,531 val:8,477 
freq:516,797 val:13,514 
freq:689,062 val:9,156 
freq:861,328 val:5,775 
freq:1033,594 val:34,022 
freq:1205,859 val:24,286 
freq:1378,125 val:6,760 
freq:1550,391 val:15,877 
freq:1722,656 val:2,452 
